D03B,D03B1
UBUCURUZI BWA BOUTIQUE,4722
IMIRIMO YO MURUGO,9700
GUTWARA ABAGENZI,4921
ITANGAZAMAKURU,9412
UBWUBATSI,4100
IMIRIMO YO MURUGO,9700
UBUCURUZI BW'IMBOGA,4630
GUTANGA SERVICE Z'AMA HOTEL,5510
GUTWARA IMIZIGO UBWIKOREZI BW'IMIZIGO,4930
IMIRIMO YO MURUGO,9700
UBUCURUZI BW'IMYENDA,4641
UBUCURUZI BW'IBYUMA,4662
GUCURUZA TREVO,4772
IMIRIMO YO MURUGO,9700
BATANGA SERVICE KUBATURAGE,8411
IMIRIMO YO MURUGO,9700
UBUCURUZI BURANGUZA PRODUITS ZA ALIMENTA,4630
UBUCURUZI BWA CANTINE (ICYAYI),9700
UBUCURUZI BW'UBUCONCO(ISUKARI),4711
UBUCURUZI BWA CANTINE(ICYAYI N'IMIGATI),5610
IMIRIMO Y'URUGO,9700
SERVICE MUNZEGO Z'IBANZE,8411
SERVICE ZA BANK,6419
GUTANGA SERVICE KU BATURAGE,8411
IMIRIMO YO MURUGO,9700
UBUCURUZI BW'INYANGE,4799
UBUREZI MU MASHURI YISUMBUYE,8521
IMIRIMO YO MURUGO,9700
UMUDOZI W'IMYENDA,1313
UBUCURUZI BW'IMYAKA,4641
UBUCURUZI BUDANDAZA INYANYA N'IBITUNGURU,4799
UBUCURUZI BW'INYANYA N'IBITUNGURU,4799
GUKANIKA IMODOKA ZAPFUYE,4520
UBUCURUZI BW'INZOGA N'IBIRIBWA,4630
ISUKU N'ISUKURA,8121
UBUCURUZI BW'UBUNYOBWA,4630
IMIRIMO Y'URUGO,9700
UBUCURUZI BW'IBIRIBWA KUMUHANDA,4799
IMIRIMO YO KUMESA  MUNGO,9700
UBUCURUZI BW'IMINEKE,4799
UBUCURUZI BW'IMINEKE,4799
UBUCURUZI BW'IMINEKE,4799
GUCURUZA INDIMU,4630
UBWUBATSI BW'INZU,4100
KOGOSHA ABANTU,9602
GUKORA AMASUKU,8121
IMIRIMO YO MURUGO,9700
OND(GUTUBURA IMYAKA,9900
UBUCURUZI BUDANDAZA IMYENDA,4751
GUKORA IBINYABIZIGA,4520
GUCURUZA IMITEJA,4799
UBWIKOREZI BW'IMIZIGO,4922
GUCUNGA UMUTEKANO W'ABANTU N'IBINTU,810
UBUDOZI BW'IMYENDA,1313
UBVUVUZI BW'ABANTU,8610
UBUDOZI BW'IMYENDA,1313
UBUDOZI BW'IMYENDA,1313
UBUDOZI BW'IMYENDA,1313
UBUDOZI BW'IMYENDA,1313
UBUCURUZI BW'IMYENDA N'INKWETO,4641
UBUCURUZI BUDANDAZA AMAKARA,220
UBUCURUZI BW'IMYENDA,4782
UBUCURUZI,4641
UBUCURUZI,4663
UBUDOZI,1313
IMIRIMO YO MU RUGO,9700
GUCUNGA UMUTEKANO,8010
UBUCURUZI,4630
GUCURUZA IBIKOMOKA KURI PETROL,4661
KWIKORERA IMIZIGO,4923
ISUKU YO MU MUHANDA,8129
GUCURUZA IMBUTO,4630
UBUBAJI,1610
GUCURUZA,4630
MUCOMA,4722
SERVICE ZA ATELIER,1610
UBUCURUZI,4661
IMIRIMO YO MU RUGO,9700
UMUTEKANO W'ABANTU N'IBINTU,8020
GUCURUZA MURI CANTINE,5610
GUFURA IMYENDA,9601
IMIRIMO YO MUURGO,9700
IBARURASHAMIBARE,7210
GUKORA IBINYABIZIGA RYAPFUYE,4520
IMIRIMO YO MURUGO,9700
UBUREZI BW'IBANZE,8510
GUTUNGANYA IMISATSI,9602
UBUCURUZI BWA BOUTIQUE,4711
GUKANIKA COMPUTER,3313
GUSUKA,9602
UBWIKOREZI BW'IMIZIGO,4922
UBUCURUZI BW'IBINYOBWA BURANGUZA,4630
IMIRIMO IJYANYE NA HOTEL,5510
GUCURUZA IBITANDA,4649
GUFURA IMYENDA,9602
DATA ENTRY,7490
UBUCURUZI BW'IMYAKA,4630
UBWIKOREZI BW'ABANTU N'IBINTU,4921
GUTWARA IMODOKA,4923
IMIRIMO YO MU RUGO,9700
UBUVUZI BW'ABANTU,8610
GUHUGURA ABUNZI N'INZEGO ZIBANZE,8411
UBUHINZI BW'IBISHYIMBO,111
GUFASHA ABANTU KUDAHUNGABANA,8690
UBUKOMISIYONERI BWO GUSHAKA INZOGA ZO KU,6820
KUVURA ABANTU,8610
IMIRIMO YO MURUGO,9700
IMIRIMO YO MU RUGO,9700
KWITA KUBUZIMA BW'ABARWAYI,8610
UBUVUZI BW'ABANTU,8610
KUGURA NO KUGURISHA IBYUMA BYA ELECTRONI,4652
UBUVUZI BW'ABANTU,8610
UBUVUZI BW'ABANTU,8610
UBUREZI BW'AMASHURI ABANZA,8510
SERVISI ZA RESTAURANT,5610
IMIRIMO YO MU RUGO,9700
GUCURUZA IBIJYANYE N'AKABARI,4630
UUBUCURUZI BW'IBIRIBWA  N'IBINYOBWA MURI,4630
AKAZI KO MURUGO,9700
UBUCURUZI BWA CANTINE,4630
UBUCURUZI BW'IMITI,4772
GUFURA IMYAMBARO,9601
ISUKU N'ISUKURA,3811
UMUTEKANO W'ABANTU N'IBINTU,8010
UBWUBATSI BW'AMAZU,4100
UBUCURUZI BW'IMYENDA,4641
ITANGAZAMAKURU,6120
ITANGAZAMAKURU,6120
ITANGAZAMAKURU,6120
GUKANIKA IMODOKA,4520
GUCURUZA AMAZI,4799
GUTEKA NO KUGABURIRA ABANTU MURI RESTAUR,5610
GUTERA IMITI YICA UDUKOKO,8790
UBUCURUZI BUDANDAZA BW'IMYENDA N'INKWETO,4641
UBUCURUZI BUDANDAZA BW'IMYENDA N'INKWETO,4641
GUCUNGA UMUTEKANO W'ABANTU N'IBINTU,8010
GUSUKA IMISATSI,9602
UBUBAJI,3100
AKAZI KO MU RUGO,9700
KWISHYUZA IBIBANZA BICURURIZWAMO,6820
GUTWARA ABAGENZI,4921
IMIRIMO Y'URUGO,9700
UBUCURUZI BW'AMAKARA BUDANDAZA,220
UBUCURUZI BW'IMITI Y'ABANTU BADANDAZA,4772
GUCUNGA UMUTEKANO,8010
IMIRIMO Y'URUGO,9700
UBUCURUZI BW'INKWETO,4641
UBUCURUZI BW'IMYENDA,4641
GUCURUZA INZOGA,4630
IMIRIMO YO MU RUGO,9700
CENTRAL GOVERNMENT ABINJIRA N'ABASOHOKA,8411
UBUCURUZI BURANGIZA IMYENDA,4641
IMIRIMO Y'UBWUBATSI BWA RUHURURA,4100
GUKORA MARBE,2399
GUTUNGANYA RUHURURA KUYUBAKA,161
IMIRIMO YO MURUGO,9700
SERVICE KUVUNJIRA ABANTU AMAFRANGA,6499
GUCURUZA IBITUNGURU,4781
UBUCURUZI BW'ICYAYI,4610
GUTEKA ICYAYI NA CAPATI,9700
GUTEKA ICYAYI NO GUKORA CAPATI,5610
UBWIKOREZI BW'IMIZIGO,4922
UBUCURUZI BW'IMYENDA,4782
UBUCURUZI BWA BOUTIQUE,4711
IMPRIMERIE  Y'IBITABO,1811
UBUCURUZI BW'IMBUTO,4630
UBUCURUZIBW'IMBUTO,4630
UBUCURUZI BW'IMBOGA,4799
UBUCURUZI BW'IMBOGA,4799
UBUKANISHI BWA GENERATOR,9521
IMIRIMO YO MURUGO,9700
UBUCURUZI BW'IMYENDA,4782
UBUCURUZI BW'IBINYAMAKURU,4761
"UBWOROZI(INKA,INGURUBE,INKOKO)",9700
"UBWOROZI(INKA,INGURUBE,INKOKO)",9700
UBUCURUZI BW'IMBUTO,4620
UBUCURUZI BUDANDAZA URUSENDA NA SERERI,9700
UBUCURUZI BW'URUSENDA NA SERERI,9700
GUSANA IMIYOBOROY'AMAZI,3319
UBUHINZI BW'IBISHYIMBO,111
UBUDOZI BW'INKWETO,1520
UBUCURUZI BW'IBIGORI,4799
UBUCURUZI BW'IBIGORI,4721
"UBWOROZI BW'AMATUNGO MAGUFI(INGURUBE,INK",145
UBWIKOREZI BW'IBINTU KU MUTWE,4922
UBUKANISHI BW'IBINYABIZIGA,4520
UBUCURUZI BW'INYAMA Z'INKA ZIBAZE,4721
UBUCURUZI BW'IMBOGA BUDANDAZA,4781
UBUKANISHI BW'IMODOKA,4520
GUCURUZA INZOGA,4722
IMIRIMO YO MURUGO,9700
KURINDA UMUTEKANO W'IGIHUGU,8423
IMIRIMO YO MU RUGO,9700
UBWUBATSI BW'INZU,4100
UBUHINZI BW'IBISHYIMBO,111
UBUHINZI BW'IBISHYIMBO,111
UBUHINZI BW'IBISHYIMBO,111
UBUCURUZI BW'IMINEKE N'AVOCAT,4711
UBUCURUZI BW'INKWI,4759
INZEGO Z'IBANZE UMURENGE,8412
SERVICE ZA HOTELLERI,5510
AKABARI GACURUZA INZOGA N'IBIRIBWA,4722
UBWUBATSI BW'AMAZU,4100
AKABARI GACURUZA IBYO KURYA NIBYO KUNWA,4782
UBWUBATSI BW'AMAZU,4100
UBWUBATSI BW'INZU,4100
UBWUBATSI BW'INZU,4100
INZEGO Z'IBANZE UMURENGE,8412
UBUCURUZI BW'IDUKA,4921
UBWUBATSI BW'AMAZU,4100
IMIRIMO YO MU RUGO,9700
IMIRIMO YO MU RUGO,9700
UBUCURUZI BWA KAROTI,4799
KWIGISHA IMODOKA,8549
IMIRIMO YO MU RUGO,9700
IMIRIMO YO MU RUGO,9700
UBWUBATSI BW'AMAZU YO GUTURAMO,4100
UBUHINZI BW'IBISHYIMBO,111
UBUHINZI BW'IBISHYIMBO,111
IMIRIMO YO MURUGO,9700
KUDODA IMYENDA,1313
INZEGO Z'IBANZE KU MURENGE,8412
UBUHINZI BW'IBISHEKE,114
GUTWARA ABANTU,4922
UBUHINZI BW'IBISHYIMBO,111
UBUHINZI BW'IBISHYIMBO,111
UBUHINZI BW'IBISHYIMBO,111
UBWUBATSI BW'AMAZU,4100
UBUCURUZI BW'AMA UNITE YA TELEPHONE,9700
UBWIKOREZI BW'ABANTU KURI MOTO,4921
IMIRIMO YO MURUGO,9700
UBUHINZI BW'IBISHYIMBO,111
UBUHINZI BW'IBISHYIMBO,111
GUTWARA ABAGENZI,4922
UBUHINZI BW'IBISHYIMBO,111
UBUHINZI BW'IBISHEKE MU GISHANGA,114
AKABARI K'URWAGWA,4722
AKABARI K'URWAGWA,4722
KWIKORERAIBINTU KU MAGARE,4921
GUCUKURA AMATERASI,161
UBUCURUZI BW'AMABUYE YAGACIRO,810
UBUCURUZI BW'AMABUYE Y'AGACIRO,810
UBUHINZI BW'IBISHYIMBO,111
UBUCURUZI BWA BISCUITS,4630
AKAZI MURI VUP,8411
UBWUBATSI BW'AMAZU,4100
GUCURUZA ISOMBE,4630
GUCUKURA IMIRWANYASURI,8411
UBUHINZI BW'IBISHYIMBO,111
KURWANYA ISURI,161
GUCUNGA UMUTEKANO,8010
KURWANYA ISURI,161
SERVICE ZITUMANAHO,6399
UBUCURUZI BW'IBISHEKE,4799
KWIKORERA IMIZIGO,4922
UBUCURUZI BW'INZOGA,4722
GUCURUZA INZOGA MU KABALI,4722
GUKORA IBIKORESHO BIVA MU MPU,1520
KUBAKA RUHURURA,4390
UBUCURUZI BW'INKWETO,4641
UBUCURUZI BW'IMBABURA,4759
UBUCURUZI BW'INKWETO,4641
UBUCURUZI BW'INKWETO,4799
UBUCURUZI BW'IMBUTO,4799
GUTWARA IMIZIGO KU MUTWE,4922
UBUCURUZI BW'UBUCONCO,4721
GUCURUZA INKOKO MU ISOKO,4620
UBUHINZI BUGAMIJE INYUNGU,111
UBUCURUZI BW'INKWETO,4771
UBUCURUZI BW'INKWETO,4771
SECTOR MUHIMA,8411
GUCUNGA UMUTEKANO,8010
UBUCURUZI BURANGUZA INYANYA,4630
UBUCURUZI BW'IMYENDA,4771
UBUCURUZI QUINCAILLERIE,4663
IMIRIMO YO MURUGO,9700
AMASHANYARAZI,3510
IMIRIMO YO MURUGO,9700
GUCURUZA UBUNYOBWA,4799
GUTWARA ABAGENZI,4921
UBWUBATSI BW'AMAZU,4100
UBUHINZI UHINGIRA ABANTU,150
UBWUBATSI BW'AMAZU,4100
UBUCURUZI BW'IMBOGA KUGATARO,4799
UBUCURUZI BW'AMABUYE YO KUBAKISHA,4663
UBUHINZI BW'IBISHYIMBO,111
UBUHINZI BW'IBISHYIMBO,111
GUTWARA IMODOKA BIKORA MU UBUCUKUZI BW'U,4922
GUCURUZA IBIKORESHO BY'UBWUBATSI,4663
UBUCURUZI BUDANDAZA IMBOGA Z'IMBWIJA,4799
GUCURUZA IBIRIBWA N'IBINYOBWA,4773
UBUHINZI BW'IMBOGA,111
UBUHINZI BW'IMBOGA,111
UBUYOBOZI BW'INZEGO,8411
UBUHINZI BW'AMASAKA,111
UBUHINZI BW'IBISHYIMBO,111
UBUCURUZI BW'IMBOGA[AZUNGUZA],4799
UBUHINZI BW'IBISHYIMBO,111
BAKORA AMASABUNE,2023
UBUREZI MU MASHURI Y'ICUKE,8510
URUGANDA RW'AMAVUTA N'AMASABUNE,2023
GUCUNGA UMUTEKANO W'ABANTU N'IBINTU,8010
UBUCURUZI BW'INTEBE,4649
AKANIKA IBINYABIZIGA,4520
UBWIKOREZI BW'IBINTU,4922
UBUCURUZI MU IDUKA,4711
UBUCURUZI BW'INYAMA ZI HENE,4630
GUTWARA IMITWARA,4922
UBUKANISHI BW'IBINYABIZIGA,4520
IMIRIMO YO MU RUGO,9700
UBUCURUZI BURANGURA,4781
MECANIQUE AUTOMOBILE,4520
BAKORA DECORATION,9609
UMUNYONZI UTWARA ABANTU KU IGARE,4921
UBUCURUZI BW'IMYENDA,4782
UBUBOSHYI BW'UDUSEKE,3290
GUTWARA ABANTU,4921
GUKORA IBINYABIZIGA,2910
IMIRIMO YO MURUGO,9700
GUTWARA IMITWARO Y'ABANTU KU MUTWE,4922
GUCURUZA IMYEMBE,4799
UBUKANISHI BW'IMODOKA,2910
UBUCURUZI BUDANDAZA BETERAVE,4799
BAKORA SIMA,2395
UBUHINZI BW'IBISHYIMBO,111
UBWIKOREZI BW'IMYANDA ISUKU NI ISUKURA,3811
UBWIKOREZI BW'IMYANDA,3811
UBWIKOREZI BW'IMYANDA ISUKU NI ISUKURA,3811
UBWUBATSI BW'AMAZU,4100
UBUCUZI BW'IBYUMA,2591
GUTWARA ABAGENZI,4921
KUGEMURIRA AMAGEREZA IBIRIBWA,4630
KUGEMURIRA AMAGEREZA IBIRIBWA,4630
GUTUNGANYA UBWIZA BW'ABANTU,9602
UBWUBATSI BW'AMAZU,4100
GUTWARA IBISHYIMBO N'IKAMYO,4923
REPARATION Y'IBIKORESHO BYO MUNZU BIKOZE,9524
UBUCURUZI BW'IBYUMA BYUBAKA,4663
UBWUBATSI BW'AMAZU,4100
UBUVUZI,8610
UBWUBATSI BW'AMAZU,4100
IMIRIMO YO MU RUGO,9700
UBUREZI MU MASHURI MAKURU,4100
UBUCURUZI BW'AMATA,4721
UBUCURUZI BWO MU MUHANDA,4799
UBWUBATSI BW'AMAZU,4100
UBUHINZI BW'IBISHYIMBO,111
UBUHINZI BW'IMYUMBATI,113
UBWUBATSI BW'AMAZU,4100
UBUCURUZI BW'IMBUTO,4799
UBUHINZI BW'UBWATSI BW'AMATUNGO,111
UBUHINZI BW'IBISHYIMBO,111
UBUDOZI BW'IMYENDA,1313
SERVICE ZO GUTUNGANYA AMAVUTA,2029
BATUNGANYA AMAZI,1104
UBUHINZI BW'URUTOKI,9700
UBUHINZI BW'URUTOKI,9700
UBUCURUZI BUDANDAZA UBUCONSHO MURI BOUTI,4711
UBWUBATSI BW'AMAZU,4100
UBUCUKUZI BW'AMABUYE MU KIROMBE,4663
UBUCUKUZI BW'AMABUYE,4663
UBWUBATSI BW'AMAZU,4100
UBWUBATSI BW'AMAZU,4100
DECORATION,7410
GUKORA ISUKALI MU BISHEKE,1072
KWENGA URWAGWA MU BITOKI,1102
UBWUBATSI BW'AMAZU,4100
UBUHINZI BW'IBISHYIMBO,111
UBUHINZI BW'IBISHYIMBO,111
IMIRIMO YO MU RUGO NOGUFATANYA NABO GUCU,9700
UBUCURUZI BW'UBUCONCO,4711
UBUCURUZI BW'IMYENDA,4641
UBUCURUZI BW'INKWETO,4641
UBUCURUZI BW'INKWETO,4641
UBUCURUZI BW'AMASHU,4630
UBUCURUZI BW'IBIGORI N'INGORO,111
GUTWARA ABAGENZI,4921
GUKORA IBINYABIZIGA,4520
UBUCURUZI,4781
GUTWARA IMODOKA,4921
UBUCURUZI BW'INKWETO,4641
UBUREZI MU MASHURI YISUMBUYE,8510
UBUCURUZI BW'AMATA,4630
AKAZI KO MU RUGO,9700
GUTUNGANYA ITABI,163
UBUCURUZI BURANGUZA UMUCERI N'ISUKARI,4630
IMIRIMO YO MURUGO,9700
UBUCURUZI BURANGUZA UMUCERI N'ISUKARI,4630
UBWUBATSI BW'INZU,4100
GUCURUZA INDAGARA,4630
IMIRIMO YO MURUGO,9700
SERVICE ZIJYANYE N'UBWIHERERO,8299
IMIRIMO YO MURUGO,9700
GUTWARA ABANTU,4921
UBWIKOREZI BW'ABANTU KUBUTAKA,4921
SERIVISE Z'AMAKOPERATIVE,9412
UBWIKOREZI BW'ABANTU NIBINTU MUKIRERE,5110
UBUCURUZI BW'INTORYI,4630
KOZA IMODOKA,4520
SIRIVISI ZIJYANYE NO GUTUNGANYA IMISATSI,9602
IMIRIMO YO MURUGO,9700
UBUREZI BW'AMASHURI ABANZA,8510
GUKORA IBINYABIZIGA,4520
IMIRIMO YO MURUGO,9700
UBUCURUZI BW'INKWETO,4641
UBUCURUZI BW'INKWETO,4641
UBUCURUZI BW'IBINTU BINYURANYE,4630
UBUCURUZI BW'IBINTU BITANDUKANYE,4630
UBUCURUZI BW'IBINTU BINYURANYE,4630
IMIRIMO YO MURUGO RW'UMUKORASHA,9700
IMIRIMO YO MURUGO,9700
UBWUBATSI BW'INZU,4100
IKIGO CY'IMARI ICIRIRITSE,6419
IMIRIMO YO MURUGO,9700
 ,3600
GUCURUZA IMYENDA MU ISOKO,4641
IMIRIMO YO MURUGO,9700
GUCURUZA INKWETO,4641
SERVICES Z'IBIRIBWA N'IBINYOBWA,5610
UBWUBATSI BWA RUHURURA BAKORESHA AMABUYE,4390
GUCURUZA IMYENDA MU MUHANDA,4630
